pattern,numerator,denominator,power,time frame,occurred
"(1, 3, 5)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 3, 7)",31.0,33.0,3.594228202637022e-05,10,33.0
"(1, 3, 7)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 3, 7)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 3, 7)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 3, 7)",33.0,33.0,1.708267089671249e-07,60,33.0
"(1, 5, 1)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 5, 1)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 5, 1)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 5, 1)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 5, 1)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 5, 3)",29.0,31.0,8.000232908983395e-05,10,31.0
"(1, 5, 3)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 5, 3)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 5, 3)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 5, 3)",31.0,31.0,4.2720932128340573e-07,60,31.0
"(1, 5, 5)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 5, 5)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 5, 5)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 5, 5)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 5, 5)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 5, 7)",29.0,31.0,8.000232908983395e-05,10,31.0
"(1, 5, 7)",31.0,31.0,4.2720932128340573e-07,15,31.0
"(1, 5, 7)",31.0,31.0,4.2720932128340573e-07,20,31.0
"(1, 5, 7)",31.0,31.0,4.2720932128340573e-07,30,31.0
"(1, 5, 7)",31.0,31.0,4.2720932128340573e-07,60,31.0
